No errors
Max results hit (1000): not all possible results returned; 
96 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KANQ 270055Z AUTO 00000KT 10SM CLR 03/M06 A3037 RMK AO2,KANQ,2019-03-27T00:55:00Z,41.63,-85.08,3.0,-6.0,0,0,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,303.0
K2C8 270055Z AUTO 18012KT 4SM BR OVC008 01/00 A2994 RMK AO2,K2C8,2019-03-27T00:55:00Z,48.78,-97.63,1.0,0.0,180,12,,4.0,29.940945,,,TRUE,TRUE,,,,,,BR,OVC,800,,,,,,,IFR,,,,,,,,,,,,METAR,272.0
KC35 270055Z AUTO 19005KT 10SM CLR 04/M07 A3031 RMK AO2 T00441073,KC35,2019-03-27T00:55:00Z,43.53,-89.98,4.4,-7.3,190,5,,10.0,30.31004,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,276.0
KGLY 270055Z AUTO 15003KT 10SM CLR 11/04 A3030 RMK AO2,KGLY,2019-03-27T00:55:00Z,38.35,-93.68,11.0,4.0,150,3,,10.0,30.301182,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,251.0
KGGI 270055Z AUTO 14008KT 10SM CLR 07/M02 A3029 RMK AO2 T00701016,KGGI,2019-03-27T00:55:00Z,41.72,-92.73,7.0,-1.6,140,8,,10.0,30.28937,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,307.0
KPRO 270055Z AUTO 15008KT 10SM BKN050 09/06 A3023 RMK AO2 T00910057,KPRO,2019-03-27T00:55:00Z,41.83,-94.17,9.1,5.7,150,8,,10.0,30.230314,,,TRUE,TRUE,,,,,,,BKN,5000,,,,,,,VFR,,,,,,,,,,,,METAR,308.0
KTNU 270055Z AUTO 14009KT 10SM BKN065 07/00 A3027 RMK AO2,KTNU,2019-03-27T00:55:00Z,41.67,-93.02,7.0,0.0,140,9,,10.0,30.268702,,,TRUE,TRUE,,,,,,,BKN,6500,,,,,,,VFR,,,,,,,,,,,,METAR,290.0
KMAO 270055Z AUTO 00000KT 10SM CLR 08/05 A3023 RMK AO2,KMAO,2019-03-27T00:55:00Z,34.18,-79.33,8.0,5.0,0,0,,10.0,30.230314,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,28.0
KLRY 270055Z AUTO 15003KT 7SM CLR 13/03 A3031 RMK AO2,KLRY,2019-03-27T00:55:00Z,38.62,-94.35,13.0,3.0,150,3,,7.0,30.31004,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,279.0
KIDI 270055Z AUTO 00000KT 10SM CLR 03/M13 A3036 RMK A01,KIDI,2019-03-27T00:55:00Z,40.62,-79.08,3.0,-13.0,0,0,,10.0,30.360237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,429.0
KEOK 270055Z AUTO 00000KT 10SM CLR 08/M07 A3034 RMK AO2,KEOK,2019-03-27T00:55:00Z,40.47,-91.42,8.0,-7.0,0,0,,10.0,30.339567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,205.0
KZPH 270055Z AUTO 30006KT 10SM CLR 20/15 A3003 RMK AO2 T01970146 PWINO,KZPH,2019-03-27T00:55:00Z,28.23,-82.15,19.7,14.6,300,6,,10.0,30.029528,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,26.0
KPSO 270055Z AUTO 00000KT 10SM SCT110 12/M07 A3021 RMK AO2 T01161070,KPSO,2019-03-27T00:55:00Z,37.28,-107.05,11.6,-7.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,SCT,11000,,,,,,,VFR,,,,,,,,,,,,METAR,2334.0
KGGE 270055Z AUTO 01003KT 10SM OVC048 12/07 A3021 RMK AO2,KGGE,2019-03-27T00:55:00Z,33.32,-79.32,12.0,7.0,10,3,,10.0,30.209646,,,TRUE,TRUE,,,,,,,OVC,4800,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
KSDC 270055Z AUTO 00000KT 10SM CLR M02/M12 A3043 RMK AO2,KSDC,2019-03-27T00:55:00Z,43.23,-77.12,-2.0,-12.0,0,0,,10.0,30.431103,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,129.0
KVDF 270055Z AUTO 00000KT 10SM CLR 20/15 A3003 RMK AO2,KVDF,2019-03-27T00:55:00Z,28.02,-82.33,20.0,15.0,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
KVNW 270055Z AUTO 11007KT 10SM CLR 03/M07 A3039 RMK AO2,KVNW,2019-03-27T00:55:00Z,40.87,-84.62,3.0,-7.0,110,7,,10.0,30.389763,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,239.0
YLIS 270055Z AUTO 19010KT 9999 // SCT010 SCT048 BKN055 21/19 Q1020,YLIS,2019-03-27T00:55:00Z,-28.83,153.27,21.0,19.0,190,10,,6.21,30.11811,,,TRUE,,,,,,,,SCT,1000,SCT,4800,BKN,5500,,,VFR,,,,,,,,,,,,SPECI,11.0
ORBD 270055Z 11005KT 8000 BRFU CLR 11/09 A3000 RMK WND DATA ALSTG ESTMD,ORBD,2019-03-27T00:55:00Z,33.93,44.37,11.0,9.0,110,5,,4.97,30.0,,,,,,,,,,FU BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,49.0
KCBG 270055Z AUTO 17005KT 10SM BKN044 OVC060 08/00 A3018 RMK AO2,KCBG,2019-03-27T00:55:00Z,45.57,-93.27,8.0,0.0,170,5,,10.0,30.180119,,,TRUE,TRUE,,,,,,,BKN,4400,OVC,6000,,,,,VFR,,,,,,,,,,,,METAR,287.0
KCAD 270055Z AUTO 00000KT 10SM CLR 02/M11 A3033 RMK AO2 T00231113,KCAD,2019-03-27T00:55:00Z,44.27,-85.42,2.3,-11.3,0,0,,10.0,30.33071,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,398.0
KCDA 270055Z AUTO 00000KT 10SM CLR M05/M16 A3033 RMK AO2 T10541161,KCDA,2019-03-27T00:55:00Z,44.57,-72.02,-5.4,-16.1,0,0,,10.0,30.33071,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,363.0
KCFS 270055Z AUTO 00000KT 10SM CLR M01/M10 A3040 RMK AO2 T10121098,KCFS,2019-03-27T00:55:00Z,43.47,-83.45,-1.2,-9.8,0,0,,10.0,30.398623,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,214.0
KCVX 270055Z AUTO 16003KT 10SM CLR 00/M10 A3037 RMK AO2 T00021105,KCVX,2019-03-27T00:55:00Z,45.3,-85.27,0.2,-10.5,160,3,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KCVH 270055Z AUTO 30004KT 10SM SCT110 18/10 A2993 RMK A01,KCVH,2019-03-27T00:55:00Z,36.9,-121.42,18.0,10.0,300,4,,10.0,29.929134,,,TRUE,TRUE,,,,,,,SCT,11000,,,,,,,VFR,,,,,,,,,,,,METAR,70.0
KD95 270055Z AUTO 00000KT 10SM CLR 01/M05 A3040 RMK AO2 T00081046,KD95,2019-03-27T00:55:00Z,43.07,-83.27,0.8,-4.6,0,0,,10.0,30.398623,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,255.0
KDRM 270055Z AUTO 00000KT 10SM CLR M01/M10 A3034 RMK AO2 T10141100,KDRM,2019-03-27T00:55:00Z,46.0,-83.75,-1.4,-10.0,0,0,,10.0,30.339567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KDLZ 270055Z AUTO 36008KT 10SM SCT110 02/M07 A3037 RMK AO2,KDLZ,2019-03-27T00:55:00Z,40.28,-83.12,2.0,-7.0,360,8,,10.0,30.369095,,,TRUE,TRUE,,,,,,,SCT,11000,,,,,,,VFR,,,,,,,,,,,,METAR,289.0
KDYT 270055Z AUTO 10SM OVC060 06/M02 A3019 RMK AO2,KDYT,2019-03-27T00:55:00Z,46.72,-92.03,6.0,-2.0,,,,10.0,30.188976,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,186.0
KDUH 270055Z AUTO 00000KT 10SM CLR 01/M08 A3041 RMK AO2 T00141077,KDUH,2019-03-27T00:55:00Z,41.73,-83.65,1.4,-7.7,0,0,,10.0,30.410433,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KELO 270055Z AUTO 21006KT 10SM OVC038 04/M07 A3012 RMK AO2,KELO,2019-03-27T00:55:00Z,47.82,-91.82,4.0,-7.0,210,6,,10.0,30.121063,,,TRUE,TRUE,,,,,,,OVC,3800,,,,,,,VFR,,,,,,,,,,,,METAR,443.0
KEFK 270055Z AUTO 26003KT 10SM CLR M06/M16 A3034 RMK AO2 T10601159,KEFK,2019-03-27T00:55:00Z,44.88,-72.23,-6.0,-15.9,260,3,,10.0,30.339567,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,284.0
K22N 270055Z AUTO 34003KT 10SM CLR 03/M16 A3036 RMK AO2,K22N,2019-03-27T00:55:00Z,40.8,-75.77,3.0,-16.0,340,3,,10.0,30.360237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,163.0
K1V6 270055Z AUTO 17005KT 10SM CLR 18/00 A3003 RMK AO2,K1V6,2019-03-27T00:55:00Z,38.43,-105.1,18.0,0.0,170,5,,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1658.0
K14Y 270055Z AUTO 17008KT 10SM OVC022 05/02 A3012 RMK AO2,K14Y,2019-03-27T00:55:00Z,45.9,-94.87,5.0,2.0,170,8,,10.0,30.121063,,,TRUE,TRUE,,,,,,,OVC,2200,,,,,,,MVFR,,,,,,,,,,,,METAR,406.0
KFGN 270055Z AUTO 16010KT 10SM OVC025 01/M02 A3000 RMK AO2,KFGN,2019-03-27T00:55:00Z,49.32,-94.9,1.0,-2.0,160,10,,10.0,30.0,,,TRUE,TRUE,,,,,,,OVC,2500,,,,,,,MVFR,,,,,,,,,,,,METAR,328.0
KFFX 270055Z AUTO 00000KT 10SM CLR 02/M14 A3038 RMK AO2 T00241137,KFFX,2019-03-27T00:55:00Z,43.43,-86.0,2.4,-13.7,0,0,,10.0,30.380905,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,236.0
KFFM 270055Z AUTO 16011KT 10SM OVC018 04/02 A3006 RMK AO2,KFFM,2019-03-27T00:55:00Z,46.28,-96.15,4.0,2.0,160,11,,10.0,30.059055,,,TRUE,TRUE,,,,,,,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,361.0
K5SM 270055Z AUTO 22012G22KT 10SM CLR 01/M06 A3029 RMK AO2,K5SM,2019-03-27T00:55:00Z,39.43,-107.38,1.0,-6.0,220,12,22,10.0,30.28937,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,3232.0
K4I3 270055Z AUTO 36005KT 10SM CLR 03/M06 A3037 RMK AO2,K4I3,2019-03-27T00:55:00Z,40.33,-82.53,3.0,-6.0,360,5,,10.0,30.369095,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,363.0
K33V 270055Z AUTO 13005KT 10SM CLR 02/M05 A3014 RMK AO1,K33V,2019-03-27T00:55:00Z,40.75,-106.28,2.0,-5.0,130,5,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2484.0
